Periode;GUADELOUPE;MARTINIQUE;GUYANE;LA REUNION;ILE-DE-FRANCE;CENTRE-VAL DE LOIRE;BOURGOGNE FRANCHE-COMTE;NORMANDIE;HAUTS-DE-FRANCE;GRAND-EST;PAYS DE LA LOIRE;BRETAGNE;NOUVELLE-AQUITAINE;OCCITANIE;AUVERGNE RHONE-ALPES;PROVENCE-ALPES-COTE D'AZUR;CORSE; FRANCE METROPOLITAINE ; France 
1996T1;46 810;46 330;10 040;97 300;694 430;144 300;152 710;222 240;424 960;289 060;208 710;164 880;339 070;339 780;421 950;342 090;15 270; 3 759 500   ; 3 960 000   
1996T2;44 700;46 370;10 660;99 580;694 130;147 020;155 090;226 400;429 260;295 640;210 820;166 460;344 020;344 690;423 690;344 470;16 040; 3 797 700   ; 3 999 100   
1996T3;46 100;46 330;10 930;101 850;703 480;150 910;158 160;229 100;440 380;301 860;212 750;167 850;348 040;350 490;425 230;348 100;16 740; 3 853 100   ; 4 058 300   
1996T4;48 570;45 410;11 370;104 890;706 860;153 240;161 170;232 660;444 240;306 860;216 450;170 290;349 190;353 030;430 620;352 250;15 840; 3 892 700   ; 4 103 000   
1997T1;47 060;47 030;12 220;106 240;716 280;154 390;163 730;235 150;449 620;311 430;218 690;172 100;354 270;357 030;436 300;358 220;16 010; 3 943 200   ; 4 155 800   
1997T2;48 600;45 840;12 730;108 280;721 250;155 130;165 860;237 780;455 480;314 510;220 800;173 910;358 480;364 400;436 390;362 820;17 000; 3 983 800   ; 4 199 300   
1997T3;50 070;47 060;12 920;110 710;725 940;154 490;167 060;240 090;458 750;316 800;220 050;175 370;361 700;368 750;438 320;366 940;17 030; 4 011 300   ; 4 232 100   
1997T4;47 250;47 010;13 260;113 380;725 840;154 030;167 230;240 790;460 970;316 500;221 630;176 630;365 760;372 420;439 610;366 670;16 330; 4 024 400   ; 4 245 300   
1998T1;50 270;47 620;13 420;113 570;727 820;154 500;166 830;240 600;461 670;315 280;221 330;177 250;366 110;376 110;439 140;367 390;16 200; 4 030 200   ; 4 255 100   
1998T2;52 180;48 590;13 190;111 930;726 360;153 700;164 500;239 740;460 310;311 560;220 830;177 980;367 560;378 360;437 750;367 500;16 290; 4 022 400   ; 4 248 300   
1998T3;51 420;49 710;13 870;111 990;727 160;152 570;162 970;238 520;459 650;310 960;221 420;178 210;368 120;380 460;435 500;368 440;16 300; 4 020 300   ; 4 247 300   
