date;AUVERGNE RHONE-ALPES;BOURGOGNE FRANCHE-COMTE;BRETAGNE;CENTRE-VAL DE LOIRE;Corse;GRAND EST;HAUTS-DE-FRANCE ;ILE-DE-FRANCE;NORMANDIE;NOUVELLE AQUITAINE;OCCITANIE;PAYS DE LA LOIRE;PROVENCE-ALPES-CÔTE D'AZUR;Guadeloupe;Guyane;Reunion;Martinique;France
01/03/2015;63,87;15,69;25,11;17,47;1,62;33,39;30,28;98,35;18,74;38,83;36,95;30,50;35,51;0,64;0,44;2,30;0,61;450,30
01/04/2015;53,50;15,28;23,85;17,03;1,57;29,86;30,76;91,20;17,44;34,48;30,99;27,03;31,92;0,97;0,43;2,10;0,78;409,20
01/05/2015;50,45;13,45;20,44;14,93;1,29;27,26;25,19;79,23;15,44;31,50;28,76;27,07;27,88;0,54;0,35;2,13;0,70;366,60
01/06/2015;56,24;15,98;24,84;16,92;1,80;32,30;31,73;90,86;18,54;38,30;35,29;33,59;34,80;0,79;0,49;3,12;0,81;436,40
01/07/2015;87,67;25,65;39,13;25,85;1,75;45,81;42,74;131,44;29,97;57,53;52,65;49,75;48,84;0,80;0,66;3,57;0,99;644,80
01/08/2015;74,54;21,43;28,84;21,47;1,34;43,14;36,33;115,82;22,45;48,47;42,80;36,74;40,69;0,71;0,50;2,44;0,89;538,60
01/09/2015;87,11;22,43;31,16;22,60;1,64;43,36;38,93;128,44;23,35;48,97;47,58;40,99;43,46;1,11;0,59;3,04;1,24;586,00
01/10/2015;84,14;21,57;28,36;22,97;1,03;39,09;36,86;128,30;23,47;43,67;41,08;40,49;41,42;1,27;0,53;2,90;1,27;558,40
01/11/2015;76,96;21,03;28,49;21,43;1,17;38,75;37,17;123,21;22,84;41,28;39,91;38,35;41,80;1,05;0,60;3,22;1,36;538,60
01/12/2015;75,02;19,67;27,18;21,51;1,09;37,56;34,37;121,06;20,84;38,37;37,30;37,92;36,27;1,18;0,41;3,48;1,44;514,70
01/01/2016;84,83;22,19;30,98;23,82;1,65;42,62;38,79;134,33;24,40;47,29;45,26;44,33;44,15;1,07;0,53;2,21;0,94;589,40
01/02/2016;74,88;17,87;25,48;21,48;1,79;37,21;35,40;121,45;22,85;42,56;41,81;40,20;42,93;0,84;0,41;2,85;0,78;530,80
01/03/2016;88,97;22,65;33,53;24,45;2,01;44,20;41,11;128,80;27,74;52,35;48,06;47,68;51,88;0,93;0,48;2,53;1,21;618,60
01/04/2016;79,64;20,80;31,21;25,03;2,11;42,07;39,56;115,61;24,70;48,37;45,28;44,62;47,97;0,93;0,51;2,61;1,10;572,10
01/05/2016;84,13;23,07;32,96;26,93;1,87;44,46;42,30;128,24;25,54;49,60;47,53;48,32;46,74;1,15;0,50;2,46;1,41;607,20
01/06/2016;101,79;27,91;39,35;30,13;2,01;59,15;51,26;145,69;29,72;60,37;57,93;53,85;53,83;1,15;0,62;3,74;1,41;719,90
01/07/2016;73,10;19,42;25,31;20,48;1,52;49,14;35,83;105,86;19,88;43,71;44,24;35,96;41,11;0,83;0,49;2,86;1,17;520,90
01/08/2016;69,45;17,62;25,46;18,03;1,33;44,71;32,49;106,58;18,40;42,11;41,67;32,32;38,13;0,87;0,44;3,40;1,29;494,30
01/09/2016;109,21;26,22;38,06;27,01;1,38;57,13;47,66;182,69;26,14;59,80;59,34;53,46;56,40;1,27;0,72;3,02;1,72;751,20
01/10/2016;111,02;25,55;38,82;25,24;1,86;49,03;44,14;140,21;25,68;62,19;62,36;52,92;61,35;1,01;0,59;2,34;1,57;705,90
01/11/2016;92,27;23,79;33,99;25,44;1,09;43,61;41,88;154,31;25,53;51,46;48,91;49,23;46,99;0,90;0,47;2,53;1,41;643,80
01/12/2016;82,76;21,71;33,92;23,55;1,16;39,43;39,21;144,26;25,49;48,90;47,69;47,84;45,16;0,72;0,57;3,01;1,43;606,80
01/01/2017;89,64;24,65;36,69;26,81;1,91;45,37;42,65;161,80;27,39;56,07;54,58;51,06;50,50;0,93;0,52;2,41;1,72;674,70
01/02/2017;88,27;25,15;35,78;25,53;2,16;44,49;39,98;139,83;25,93;54,81;53,45;48,82;48,97;0,83;0,43;2,63;1,24;638,30
01/03/2017;108,64;27,52;47,93;30,86;2,76;55,87;49,26;174,36;34,02;66,20;65,02;62,28;60,78;1,05;1,00;3,04;1,92;792,50
01/04/2017;85,39;21,21;39,60;25,37;1,98;42,96;39,71;140,03;26,69;55,39;51,74;51,90;53,14;0,85;0,64;2,97;1,03;640,60
01/05/2017;92,22;21,89;39,11;27,07;2,66;46,84;44,58;146,53;25,80;55,09;54,95;52,66;55,20;0,88;0,80;2,98;1,04;670,30
01/06/2017;87,60;22,07;37,88;24,80;1,89;46,70;43,64;145,92;25,72;55,37;54,64;50,28;50,69;0,88;0,57;3,20;0,97;652,80
01/07/2017;76,94;19,86;31,99;21,16;1,76;40,81;36,17;125,85;21,70;47,72;48,99;41,57;44,90;0,77;0,82;2,22;0,87;564,10
01/08/2017;66,68;18,25;26,95;18,22;1,34;33,75;31,61;110,65;19,00;41,52;40,89;33,00;39,46;0,79;0,50;2,89;0,80;486,30
01/09/2017;87,34;21,20;33,14;22,64;3,22;41,68;35,67;142,81;22,65;48,76;49,27;42,77;44,16;0,60;0,50;2,18;0,91;599,50
