mois;AGRICULTURE ET PECHE ET ESPACES NATURELS ET ESPACES VERTS ET SOINS AUX ANIMAUX  ;ART  ET FACONNAGE D'OUVRAGES D'ART;BANQUE ET ASSURANCES ET IMMOBILIER;COMMERCE ET VENTE ET GRANDE DISTRIBUTION;COMMUNICATION ET MEDIA ET MULTIMEDIA   ;CONSTRUCTION ET BATIMENT ET TRAVAUX PUBLICS;HOTELLERIE - RESTAURATION ET TOURISME ET LOISIRS ET ANIMATION;INDUSTRIE ;INSTALLATION ET MAINTENANCE ;SANTE;SERVICES  A LA PERSONNE ET A LA COLLECTIVITE;SPECTACLE;SUPPORT A L'ENTREPRISE;TRANSPORT ET LOGISTIQUE;
01/03/2015;9.2;0.9;17.3;76.7;4.4;34.2;43.8;53.8;29.6;21.5;58.6;1.7;66.0;32.6;
01/04/2015;9.1;0.8;13.8;71.0;3.5;30.2;40.7;45.2;25.9;18.5;58.2;1.6;59.1;31.7;
01/05/2015;8.8;0.7;14.4;63.4;3.1;30.4;33.6;43.5;24.5;15.6;42.3;2.2;52.5;31.7;
01/06/2015;13.3;0.8;13.2;69.8;3.4;35.3;39.6;51.2;28.2;18.4;60.9;2.2;60.9;39.2;
01/07/2015;13.6;1.5;20.8;105.7;5.1;54.3;80.5;77.4;38.7;24.9;77.6;2.0;86.1;56.4;
01/08/2015;15.2;1.0;19.4;83.1;4.3;45.1;48.7;69.4;31.9;29.5;70.2;2.1;71.2;47.5;
01/09/2015;17.2;1.0;21.6;95.0;4.9;46.8;54.1;67.6;34.0;24.3;88.0;1.7;83.2;46.5;
01/10/2015;12.4;1.1;24.0;94.5;5.5;47.4;41.7;70.9;34.1;23.0;67.2;1.9;88.5;46.1;
01/11/2015;8.3;0.9;20.7;98.9;4.9;42.3;39.1;66.1;32.8;25.4;68.7;2.3;86.6;41.6;
01/12/2015;7.0;1.0;19.6;77.6;4.6;39.3;31.0;74.5;39.6;25.5;57.7;1.9;99.2;36.2;
01/01/2016;7.2;1.0;19.4;94.7;4.5;44.7;49.8;78.8;44.0;29.8;63.5;1.7;109.7;40.8;
